gene_symbol	hgnc_id	mgi_id	disorder_id	disorder_name	IMPC_pipeline	IMPC_phenotypes	HPO_phenotypes	PhenoDigm_match	max_score
FGFBP1	HGNC:19695	MGI:1096350	-	-	yes	no	no	no	NA
FGFBP3	HGNC:23428	MGI:1919764	-	-	yes	no	no	no	NA
FGFR1	HGNC:3688	MGI:95522	OMIM:101600|OMIM:613001|OMIM:615465|OMIM:147950|OMIM:123150|OMIM:166250|OMIM:190440|ORPHA:168953|ORPHA:2117|ORPHA:2396|ORPHA:251576|ORPHA:251579|ORPHA:251615|ORPHA:2227|ORPHA:2645|ORPHA:3366|ORPHA:3157|ORPHA:280200|ORPHA:478|ORPHA:220386|ORPHA:314950|ORPHA:432|ORPHA:93258|ORPHA:93924|ORPHA:99798	Pfeiffer Syndrome|Encephalocraniocutaneous Lipomatosis|Hartsfield Syndrome|Hypogonadotropic Hypogonadism 2 With Or Without Anosmia|Jackson-Weiss Syndrome|Osteoglophonic Dysplasia|Trigonocephaly 1|Myeloid/Lymphoid Neoplasm Associated With Fgfr1 Rearrangement|Gliosarcoma|Giant Cell Glioblastoma|Pilomyxoid Astrocytoma|Non Rare In Europe: Hypodontia|Osteoglosphonic Dysplasia|Non-Syndromic Metopic Craniosynostosis|Septo-Optic Dysplasia Spectrum|Microform Holoprosencephaly|Kallmann Syndrome|Semilobar Holoprosencephaly|Primary Hypereosinophilic Syndrome|Normosmic Congenital Hypogonadotropic Hypogonadism|Pfeiffer Syndrome Type 1|Lobar Holoprosencephaly|Oligodontia	yes	yes	yes	yes	36.925
FGFR1OP2	HGNC:23098	MGI:1914779	-	-	yes	no	no	no	NA
FGFR2	HGNC:3689	MGI:95523	OMIM:609579|OMIM:207410|OMIM:101200|OMIM:123790|OMIM:614592|OMIM:101600|OMIM:123500|OMIM:613659|OMIM:123150|OMIM:149730|OMIM:101400|ORPHA:794|ORPHA:207|ORPHA:87|ORPHA:168624|ORPHA:1540|ORPHA:1555|ORPHA:2363|ORPHA:313855|ORPHA:93260|ORPHA:93259|ORPHA:93258|ORPHA:596008	Scaphocephaly, Maxillary Retrusion, And Impaired Intellectual Development|Antley-Bixler Syndrome Without Genital Anomalies Or Disordered Steroidogenesis|Apert Syndrome|Beare-Stevenson Cutis Gyrata Syndrome|Bent Bone Dysplasia Syndrome 1|Pfeiffer Syndrome|Crouzon Syndrome|Gastric Cancer|Jackson-Weiss Syndrome|Lacrimoauriculodentodigital Syndrome 1|Saethre-Chotzen Syndrome|Familial Scaphocephaly Syndrome, Mcgillivray Type|Cutis Gyrata-Acanthosis Nigricans-Craniosynostosis Syndrome|Lacrimoauriculodentodigital Syndrome|Fgfr2-Related Bent Bone Dysplasia|Pfeiffer Syndrome Type 3|Pfeiffer Syndrome Type 2|Pfeiffer Syndrome Type 1|Antley-Bixler Syndrome Without Genital Anomaly Or Disorder Of Steroidogenesis	no	no	no	no	NA
FGFR3	HGNC:3690	MGI:95524	OMIM:100800|OMIM:109800|OMIM:610474|OMIM:603956|OMIM:114500|OMIM:612247|OMIM:162900|OMIM:273300|OMIM:146000|OMIM:620192|OMIM:602849|OMIM:616482|OMIM:187600|OMIM:187601|ORPHA:15|ORPHA:429|ORPHA:794|ORPHA:1860|ORPHA:2363|ORPHA:251576|ORPHA:251579|ORPHA:35099|ORPHA:53271|ORPHA:93262|ORPHA:93274|ORPHA:85164|ORPHA:85165	Achondroplasia|Bladder Cancer|Camptodactyly, Tall Stature, And Hearing Loss Syndrome|Cervical Cancer|Colorectal Cancer|Crouzon Syndrome With Acanthosis Nigricans|Nevus, Epidermal|Testicular Germ Cell Tumor|Hypochondroplasia|Lacrimoauriculodentodigital Syndrome 2|Muenke Syndrome|Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans|Thanatophoric Dysplasia, Type I|Thanatophoric Dysplasia, Type Ii|Saethre-Chotzen Syndrome|Thanatophoric Dysplasia Type 1|Lacrimoauriculodentodigital Syndrome|Gliosarcoma|Giant Cell Glioblastoma|Non-Syndromic Bicoronal Craniosynostosis|Crouzon Syndrome-Acanthosis Nigricans Syndrome|Thanatophoric Dysplasia Type 2|Camptodactyly-Tall Stature-Scoliosis-Hearing Loss Syndrome|Severe Achondroplasia-Developmental Delay-Acanthosis Nigricans Syndrome	no	no	no	no	NA
FGFR4	HGNC:3691	MGI:95525	-	-	yes	no	no	no	NA
FGFRL1	HGNC:3693	MGI:2150920	-	-	no	no	no	no	NA
FGG	HGNC:3694	MGI:95526	OMIM:202400|OMIM:616004|ORPHA:248408|ORPHA:98881|ORPHA:98880|ORPHA:101041	Afibrinogenemia, Congenital|Dysfibrinogenemia, Congenital|Familial Hypodysfibrinogenemia|Familial Dysfibrinogenemia|Familial Afibrinogenemia|Familial Hypofibrinogenemia	no	no	no	no	NA
FGGY	HGNC:25610	MGI:1922828	-	-	yes	no	no	no	NA
FGL1	HGNC:3695	MGI:102795	-	-	yes	no	no	no	NA
FGL2	HGNC:3696	MGI:103266	-	-	no	no	no	no	NA
FGR	HGNC:3697	MGI:95527	-	-	no	no	no	no	NA
FH	HGNC:3700	MGI:95530	OMIM:606812|OMIM:150800|ORPHA:24|ORPHA:29072|ORPHA:523	Fumarase Deficiency|Hereditary Leiomyomatosis And Renal Cell Cancer|Fumaric Aciduria|Hereditary Pheochromocytoma-Paraganglioma	no	no	no	no	NA
FHAD1	HGNC:29408	MGI:1920323	-	-	no	no	no	no	NA
FHDC1	HGNC:29363	MGI:2684972	-	-	no	no	no	no	NA
FHIP1A	HGNC:34237	MGI:2444746	-	-	yes	no	no	no	NA
FHIP1B	HGNC:25378	MGI:1921599	-	-	yes	no	no	no	NA
FHIP2A	HGNC:29320	MGI:2147545	-	-	yes	no	no	no	NA
FHIP2B	HGNC:16492	MGI:3036290	-	-	yes	no	no	no	NA
FHIT	HGNC:3701	MGI:1277947	ORPHA:422526	Hereditary Clear Cell Renal Cell Carcinoma	no	no	no	no	NA
FHL1	HGNC:3702	MGI:1298387	OMIM:300280|OMIM:300696|OMIM:300717|OMIM:300718|OMIM:300695|ORPHA:155|ORPHA:178461|ORPHA:431272|ORPHA:97239|ORPHA:98863	Uruguay Faciocardiomusculoskeletal Syndrome|Myopathy, X-Linked, With Postural Muscle Atrophy|Reducing Body Myopathy, X-Linked 1A, Severe, With Infantile Or Early Childhood Onset|Reducing Body Myopathy, X-Linked 1B, With Late Childhood Or Adult Onset|Scapuloperoneal Myopathy, X-Linked Dominant|Non Rare In Europe: Familial Isolated Hypertrophic Cardiomyopathy|X-Linked Myopathy With Postural Muscle Atrophy|X-Linked Scapuloperoneal Muscular Dystrophy|Reducing Body Myopathy|X-Linked Emery-Dreifuss Muscular Dystrophy	yes	yes	yes	yes	29.785
FHL2	HGNC:3703	MGI:1338762	ORPHA:154	Familial Isolated Dilated Cardiomyopathy	no	no	no	no	NA
FHL3	HGNC:3704	MGI:1341092	-	-	no	no	no	no	NA
FHL5	HGNC:17371	MGI:1913192	-	-	no	no	no	no	NA
FHOD1	HGNC:17905	MGI:2679008	-	-	yes	no	no	no	NA
FHOD3	HGNC:26178	MGI:1925847	OMIM:619402	Cardiomyopathy, Familial Hypertrophic, 28	yes	yes	yes	yes	37
FIBCD1	HGNC:25922	MGI:2138953	-	-	no	no	no	no	NA
FIBIN	HGNC:33747	MGI:1914856	-	-	yes	no	no	no	NA
FIBP	HGNC:3705	MGI:1926233	OMIM:617107|ORPHA:500095	Thauvin-Robinet-Faivre Syndrome|Tall Stature-Intellectual Disability-Renal Anomalies Syndrome	yes	yes	yes	yes	18.6
FICD	HGNC:18416	MGI:1098550	-	-	yes	no	no	no	NA
FIG4	HGNC:16873	MGI:2143585	OMIM:612691|OMIM:612577|OMIM:611228|OMIM:216340|ORPHA:803|ORPHA:139515|ORPHA:3472|ORPHA:208441	Polymicrogyria, Bilateral Temporooccipital|Amyotrophic Lateral Sclerosis 11|Charcot-Marie-Tooth Disease, Type 4J|Yunis-Varon Syndrome|Amyotrophic Lateral Sclerosis|Charcot-Marie-Tooth Disease Type 4J|Bilateral Parasagittal Parieto-Occipital Polymicrogyria	no	no	no	no	NA
FIGLA	HGNC:24669	MGI:1349421	OMIM:612310|ORPHA:619	Premature Ovarian Failure 6|Non Rare In Europe: Primary Ovarian Failure	no	no	no	no	NA
FIGN	HGNC:13285	MGI:1890647	-	-	no	no	no	no	NA
FIGNL1	HGNC:13286	MGI:1890648	-	-	yes	no	no	no	NA
FIGNL2	HGNC:13287	MGI:3646919	-	-	no	no	no	no	NA
FILIP1	HGNC:21015	MGI:1917848	-	-	yes	no	no	no	NA
FILIP1L	HGNC:24589	MGI:1925999	-	-	no	no	no	no	NA
FIP1L1	HGNC:19124	MGI:1914149	ORPHA:168940|ORPHA:314950|ORPHA:520	Chronic Eosinophilic Leukemia|Primary Hypereosinophilic Syndrome|Acute Promyelocytic Leukemia	no	no	no	no	NA
FIRRM	HGNC:25565	MGI:3590554	-	-	yes	no	no	no	NA
FIS1	HGNC:21689	MGI:1913687	-	-	yes	no	no	no	NA
FITM1	HGNC:33714	MGI:1915930	-	-	no	no	no	no	NA
FITM2	HGNC:16135	MGI:2444508	OMIM:618635	Siddiqi Syndrome	yes	yes	yes	no	NA
FIZ1	HGNC:25917	MGI:1344336	-	-	no	no	no	no	NA
FJX1	HGNC:17166	MGI:1341907	-	-	yes	no	no	no	NA
FKBP10	HGNC:18169	MGI:104769	OMIM:259450|OMIM:610968|ORPHA:2771|ORPHA:1149|ORPHA:216812|ORPHA:216820	Bruck Syndrome 1|Osteogenesis Imperfecta, Type Xi|Bruck Syndrome|Kuskokwim Syndrome|Osteogenesis Imperfecta Type 3|Osteogenesis Imperfecta Type 4	yes	yes	yes	yes	38.18
FKBP11	HGNC:18624	MGI:1913370	-	-	yes	no	no	no	NA
FKBP14	HGNC:18625	MGI:2387639	OMIM:614557|ORPHA:300179	Ehlers-Danlos Syndrome, Kyphoscoliotic Type, 2|Kyphoscoliotic Ehlers-Danlos Syndrome Due To Fkbp22 Deficiency	no	no	no	no	NA
FKBP15	HGNC:23397	MGI:2444782	-	-	no	no	no	no	NA
FKBP1B	HGNC:3712	MGI:1336205	-	-	yes	no	no	no	NA
FKBP2	HGNC:3718	MGI:95542	-	-	no	no	no	no	NA
FKBP3	HGNC:3719	MGI:1353460	-	-	yes	no	no	no	NA
FKBP4	HGNC:3720	MGI:95543	-	-	yes	no	no	no	NA
FKBP5	HGNC:3721	MGI:104670	OMIM:608516	Major Depressive Disorder	yes	yes	yes	no	NA
FKBP6	HGNC:3722	MGI:2137612	OMIM:620103|ORPHA:904	Spermatogenic Failure 77|Williams Syndrome	yes	yes	yes	yes	23.24
FKBP7	HGNC:3723	MGI:1336879	-	-	yes	no	no	no	NA
FKBP8	HGNC:3724	MGI:1341070	-	-	no	no	no	no	NA
FKBP9	HGNC:3725	MGI:1350921	-	-	no	no	no	no	NA
FKBPL	HGNC:13949	MGI:1932127	-	-	yes	no	no	no	NA
FKRP	HGNC:17997	MGI:2447586	OMIM:613153|OMIM:606612|OMIM:607155|ORPHA:370959|ORPHA:370968|ORPHA:370980|ORPHA:588|ORPHA:899|ORPHA:34515	Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 5|Muscular Dystrophy-Dystroglycanopathy (Congenital With Or Without Impaired Intellectual Development), Type B, 5|Muscular Dystrophy-Dystroglycanopathy (Limb-Girdle), Type C, 5|Congenital Muscular Dystrophy With Cerebellar Involvement|Congenital Muscular Dystrophy With Intellectual Disability|Congenital Muscular Dystrophy Without Intellectual Disability|Muscle-Eye-Brain Disease|Walker-Warburg Syndrome|Fkrp-Related Limb-Girdle Muscular Dystrophy R9	no	no	no	no	NA
FKTN	HGNC:3622	MGI:2179507	OMIM:611615|OMIM:253800|OMIM:613152|OMIM:611588|ORPHA:154|ORPHA:206554|ORPHA:370980|ORPHA:588|ORPHA:899|ORPHA:272	Cardiomyopathy, Dilated, 1X|Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 4|Muscular Dystrophy-Dystroglycanopathy (Congenital Without Impaired Intellectual Development), Type B, 4|Muscular Dystrophy-Dystroglycanopathy (Limb-Girdle), Type C, 4|Familial Isolated Dilated Cardiomyopathy|Fukutin-Related Limb-Girdle Muscular Dystrophy R13|Congenital Muscular Dystrophy Without Intellectual Disability|Muscle-Eye-Brain Disease|Walker-Warburg Syndrome|Congenital Muscular Dystrophy, Fukuyama Type	no	no	no	no	NA
FLACC1	HGNC:14439	MGI:1918359	-	-	yes	no	no	no	NA
FLAD1	HGNC:24671	MGI:2443030	OMIM:255100|ORPHA:394532|ORPHA:394529	Lipid Storage Myopathy Due To Flavin Adenine Dinucleotide Synthetase Deficiency|Multiple Acyl-Coa Dehydrogenase Deficiency, Mild Type|Multiple Acyl-Coa Dehydrogenase Deficiency, Severe Neonatal Type	no	no	no	no	NA
FLCN	HGNC:27310	MGI:2442184	OMIM:144700|OMIM:135150|OMIM:114500|OMIM:173600|ORPHA:2903|ORPHA:422526|ORPHA:122	Renal Cell Carcinoma, Nonpapillary|Birt-Hogg-Dube Syndrome 1|Colorectal Cancer|Pneumothorax, Primary Spontaneous|Familial Spontaneous Pneumothorax|Hereditary Clear Cell Renal Cell Carcinoma|Birt-Hogg-Dubé Syndrome	no	no	no	no	NA
FLG2	HGNC:33276	MGI:3645678	OMIM:618084|ORPHA:263548	Peeling Skin Syndrome 6|Peeling Skin Syndrome Type A	no	no	no	no	NA
FLI1	HGNC:3749	MGI:95554	OMIM:617443|ORPHA:2308|ORPHA:248340|ORPHA:851|ORPHA:319|ORPHA:370348|ORPHA:370334	Bleeding Disorder, Platelet-Type, 21|Jacobsen Syndrome|Isolated Delta-Storage Pool Disease|Paris-Trousseau Thrombocytopenia|Skeletal Ewing Sarcoma|Peripheral Primitive Neuroectodermal Tumor|Extraskeletal Ewing Sarcoma	no	no	no	no	NA
FLII	HGNC:3750	MGI:1342286	ORPHA:819	Smith-Magenis Syndrome	yes	yes	yes	yes	20.35
FLNA	HGNC:3754	MGI:95556	OMIM:300321|OMIM:314400|OMIM:300048|OMIM:305620|OMIM:300049|OMIM:309350|OMIM:311300|OMIM:304120|OMIM:300244|ORPHA:2301|ORPHA:323|ORPHA:1826|ORPHA:2484|ORPHA:482606|ORPHA:75497|ORPHA:555877|ORPHA:88630|ORPHA:90652|ORPHA:90650|ORPHA:98892|ORPHA:99811	Fg Syndrome 2|Cardiac Valvular Dysplasia, X-Linked|Intestinal Pseudoobstruction, Neuronal, Chronic Idiopathic, X-Linked|Frontometaphyseal Dysplasia 1|Periventricular Nodular Heterotopia 1|Melnick-Needles Syndrome|Otopalatodigital Syndrome, Type I|Otopalatodigital Syndrome, Type Ii|Terminal Osseous Dysplasia|Congenital Short Bowel Syndrome|Non Rare In Europe: Fg Syndrome Phenotypic Spectrum|Frontometaphyseal Dysplasia|X-Linked Keloid Scarring-Reduced Joint Mobility-Increased Optic Cup-To-Disc Ratio Syndrome|X-Linked Ehlers-Danlos Syndrome|Flna-Related X-Linked Myxomatous Valvular Dysplasia|Terminal Osseous Dysplasia-Pigmentary Defects Syndrome|Otopalatodigital Syndrome Type 2|Otopalatodigital Syndrome Type 1|Periventricular Nodular Heterotopia|Neuronal Intestinal Pseudoobstruction	no	no	no	no	NA
FLNB	HGNC:3755	MGI:2446089	OMIM:108720|OMIM:108721|OMIM:112310|OMIM:150250|OMIM:272460|ORPHA:1263|ORPHA:1190|ORPHA:3275|ORPHA:503|ORPHA:56305	Atelosteogenesis, Type I|Atelosteogenesis, Type Iii|Boomerang Dysplasia|Larsen Syndrome|Spondylocarpotarsal Synostosis Syndrome|Atelosteogenesis Type I|Spondylocarpotarsal Synostosis|Atelosteogenesis Type Iii	yes	yes	yes	yes	41.805
FLNC	HGNC:3756	MGI:95557	OMIM:617047|OMIM:614065|OMIM:609524|ORPHA:171445|ORPHA:155|ORPHA:63273|ORPHA:75249	Cardiomyopathy, Familial Hypertrophic, 26|Myopathy, Distal, 4|Myopathy, Myofibrillar, 5|Muscle Filaminopathy|Non Rare In Europe: Familial Isolated Hypertrophic Cardiomyopathy|Distal Myopathy With Posterior Leg And Anterior Hand Involvement|Familial Isolated Restrictive Cardiomyopathy	yes	yes	yes	yes	31.05
FLOT1	HGNC:3757	MGI:1100500	-	-	no	no	no	no	NA
FLOT2	HGNC:3758	MGI:103309	-	-	yes	no	no	no	NA
FLRT1	HGNC:3760	MGI:3026647	ORPHA:320406	Spastic Paraplegia-Optic Atrophy-Neuropathy Syndrome	no	no	no	no	NA
FLRT2	HGNC:3761	MGI:3603594	-	-	no	no	no	no	NA
FLRT3	HGNC:3762	MGI:1918686	OMIM:615271|ORPHA:478	Hypogonadotropic Hypogonadism 21 With Or Without Anosmia|Kallmann Syndrome	no	no	no	no	NA
FLT1	HGNC:3763	MGI:95558	ORPHA:275555	Preeclampsia	no	no	no	no	NA
FLT3	HGNC:3765	MGI:95559	OMIM:601626|OMIM:613065|ORPHA:98833|ORPHA:98834|ORPHA:98832|ORPHA:98829|ORPHA:589595|ORPHA:589534|ORPHA:585909|ORPHA:102724|ORPHA:99861	Leukemia, Acute Myeloid|Leukemia, Acute Lymphoblastic|Acute Myeloblastic Leukemia Without Maturation|Acute Myeloblastic Leukemia With Maturation|Acute Myeloid Leukemia With Minimal Differentiation|Acute Myeloid Leukemia With Abnormal Bone Marrow Eosinophils Inv(16)(P13Q22) Or T(16;16)(P13;Q22)|Mixed Phenotype Acute Leukemia With T(V;11Q23.3)|Mixed Phenotype Acute Leukemia With T(9;22)(Q34.1;Q11.2)|B-Lymphoblastic Leukemia/Lymphoma With T(9;22)(Q34.1;Q11.2)|Acute Myeloid Leukemia With T(8;21)(Q22;Q22) Translocation|Precursor T-Cell Acute Lymphoblastic Leukemia	yes	yes	yes	yes	23.885
FLT3LG	HGNC:3766	MGI:95560	-	-	no	no	no	no	NA
FLT4	HGNC:3767	MGI:95561	OMIM:618780|OMIM:602089|OMIM:153100|ORPHA:3303|ORPHA:464293|ORPHA:79452	Congenital Heart Defects, Multiple Types, 7|Hemangioma, Capillary Infantile|Lymphatic Malformation 1|Tetralogy Of Fallot|Non Rare In Europe: Infantile Capillary Hemangioma|Milroy Disease	no	no	no	no	NA
FLVCR1	HGNC:24682	MGI:2444881	OMIM:609033|ORPHA:88628	Posterior Column Ataxia With Retinitis Pigmentosa|Posterior Column Ataxia-Retinitis Pigmentosa Syndrome	no	no	no	no	NA
FLVCR2	HGNC:20105	MGI:2384974	OMIM:225790|ORPHA:221126	Proliferative Vasculopathy And Hydranencephaly-Hydrocephaly Syndrome|Fowler Vasculopathy	yes	yes	yes	no	NA
FLYWCH1	HGNC:25404	MGI:2442638	-	-	yes	no	no	no	NA
FLYWCH2	HGNC:25178	MGI:1924167	-	-	yes	no	no	no	NA
FMC1	HGNC:26946	MGI:1913367	-	-	yes	no	no	no	NA
FMN1	HGNC:3768	MGI:101815	-	-	no	no	no	no	NA
FMN2	HGNC:14074	MGI:1859252	OMIM:616193|ORPHA:88616	Intellectual Developmental Disorder, Autosomal Recessive 47|Autosomal Recessive Non-Syndromic Intellectual Disability	no	no	no	no	NA
FMNL1	HGNC:1212	MGI:1888994	-	-	no	no	no	no	NA
FMNL2	HGNC:18267	MGI:1918659	-	-	yes	no	no	no	NA
FMNL3	HGNC:23698	MGI:109569	-	-	yes	no	no	no	NA
FMO1	HGNC:3769	MGI:1310002	-	-	no	no	no	no	NA
FMO2	HGNC:3770	MGI:1916776	-	-	no	no	no	no	NA
FMO3	HGNC:3771	MGI:1100496	OMIM:602079|ORPHA:468726|ORPHA:35056	Trimethylaminuria|Severe Primary Trimethylaminuria|Non Rare In Europe: Trimethylaminuria	yes	yes	yes	yes	58.525
FMO4	HGNC:3772	MGI:2429497	-	-	no	no	no	no	NA
FMO5	HGNC:3773	MGI:1310004	-	-	yes	no	no	no	NA
FMOD	HGNC:3774	MGI:1328364	-	-	no	no	no	no	NA
FMR1	HGNC:3775	MGI:95564	OMIM:300624|OMIM:300623|OMIM:311360|ORPHA:908|ORPHA:619|ORPHA:261483|ORPHA:449291|ORPHA:93256|ORPHA:642691	Fragile X Syndrome|Fragile X Tremor/Ataxia Syndrome|Premature Ovarian Failure 1|Non Rare In Europe: Primary Ovarian Failure|Xq27.3Q28 Duplication Syndrome|Symptomatic Form Of Fragile X Syndrome In Female Carriers|Fragile X-Associated Tremor/Ataxia Syndrome|Fragile X-Associated Primary Ovarian Insufficiency	no	no	no	no	NA
FMR1NB	HGNC:26372	MGI:2672032	-	-	no	no	no	no	NA
FN1	HGNC:3778	MGI:95566	OMIM:601894|OMIM:184255|ORPHA:93315|ORPHA:84090	Glomerulopathy With Fibronectin Deposits 2|Spondylometaphyseal Dysplasia, Corner Fracture Type|Spondylometaphyseal Dysplasia, 'Corner Fracture' Type|Fibronectin Glomerulopathy	no	no	no	no	NA
FN3K	HGNC:24822	MGI:1926834	-	-	no	no	no	no	NA
FN3KRP	HGNC:25700	MGI:2679256	-	-	no	no	no	no	NA
FNBP1	HGNC:17069	MGI:109606	-	-	yes	no	no	no	NA
FNBP1L	HGNC:20851	MGI:1925642	-	-	yes	no	no	no	NA
FNBP4	HGNC:19752	MGI:1860513	-	-	no	no	no	no	NA
FNDC1	HGNC:21184	MGI:1915905	-	-	no	no	no	no	NA
FNDC10	HGNC:42951	MGI:2444790	-	-	no	no	no	no	NA
FNDC11	HGNC:28764	MGI:3051572	-	-	no	no	no	no	NA
FNDC3A	HGNC:20296	MGI:1196463	-	-	yes	no	no	no	NA
FNDC3B	HGNC:24670	MGI:1919257	-	-	yes	no	no	no	NA
FNDC4	HGNC:20239	MGI:1917195	-	-	yes	no	no	no	NA
FNDC5	HGNC:20240	MGI:1917614	-	-	no	no	no	no	NA
FNDC7	HGNC:26668	MGI:2443535	-	-	yes	no	no	no	NA
FNDC8	HGNC:25286	MGI:1926169	-	-	no	no	no	no	NA
FNDC9	HGNC:33547	MGI:2443410	-	-	yes	no	no	no	NA
FNIP1	HGNC:29418	MGI:2444668	OMIM:619705	Immunodeficiency 93 And Hypertrophic Cardiomyopathy	yes	yes	yes	no	NA
FNIP2	HGNC:29280	MGI:2683054	-	-	yes	no	no	no	NA
FNTA	HGNC:3782	MGI:104683	-	-	yes	no	no	no	NA
FNTB	HGNC:3785	MGI:1861305	-	-	yes	no	no	no	NA
FOCAD	HGNC:23377	MGI:2676921	OMIM:619991	Liver Disease, Severe Congenital	yes	yes	yes	yes	26.03
FOLH1	HGNC:3788	MGI:1858193	-	-	yes	no	no	no	NA
FOLR1	HGNC:3791	MGI:95568	OMIM:613068|ORPHA:217382	Neurodegeneration Due To Cerebral Folate Transport Deficiency|Neurodegenerative Syndrome Due To Cerebral Folate Transport Deficiency	yes	yes	yes	no	NA
FOLR2	HGNC:3793	MGI:95569	-	-	no	no	no	no	NA
FOS	HGNC:3796	MGI:95574	ORPHA:528	Congenital Generalized Lipodystrophy	yes	yes	yes	yes	35.655
FOSB	HGNC:3797	MGI:95575	-	-	yes	no	no	no	NA
FOSL1	HGNC:13718	MGI:107179	-	-	no	no	no	no	NA
FOSL2	HGNC:3798	MGI:102858	-	-	no	no	no	no	NA
FOXA1	HGNC:5021	MGI:1347472	-	-	no	no	no	no	NA
FOXA2	HGNC:5022	MGI:1347476	ORPHA:95494	Combined Pituitary Hormone Deficiencies, Genetic Forms	no	no	no	no	NA
FOXA3	HGNC:5023	MGI:1347477	-	-	no	no	no	no	NA
FOXB1	HGNC:3799	MGI:1927549	-	-	no	no	no	no	NA
FOXB2	HGNC:23315	MGI:1347468	-	-	yes	no	no	no	NA
FOXC1	HGNC:3800	MGI:1347466	OMIM:601631|OMIM:602482|ORPHA:250923|ORPHA:708|ORPHA:782|ORPHA:91483|ORPHA:98978	Anterior Segment Dysgenesis 3|Axenfeld-Rieger Syndrome, Type 3|Isolated Aniridia|Peters Anomaly|Axenfeld-Rieger Syndrome|Rieger Anomaly|Axenfeld Anomaly	no	no	no	no	NA
FOXC2	HGNC:3801	MGI:1347481	OMIM:153400|ORPHA:33001	Lymphedema-Distichiasis Syndrome	no	no	no	no	NA
FOXD1	HGNC:3802	MGI:1347463	-	-	no	no	no	no	NA
FOXD2	HGNC:3803	MGI:1347471	-	-	no	no	no	no	NA
FOXD3	HGNC:3804	MGI:1347473	OMIM:607836|ORPHA:3435	Autoimmune Disease, Susceptibility To, 1|Non Rare In Europe: Vitiligo	no	no	no	no	NA
FOXE1	HGNC:3806	MGI:1353500	OMIM:241850|OMIM:616534|ORPHA:146|ORPHA:1226|ORPHA:319487|ORPHA:95713	Bamforth-Lazarus Syndrome|Thyroid Cancer, Nonmedullary, 4|Differentiated Thyroid Carcinoma|Familial Papillary Or Follicular Thyroid Carcinoma|Athyreosis	no	no	no	no	NA
FOXE3	HGNC:3808	MGI:1353569	OMIM:610256|OMIM:612968|OMIM:617349|ORPHA:708|ORPHA:91387|ORPHA:83461	Anterior Segment Dysgenesis 2|Cataract 34, Multiple Types|Aortic Aneurysm, Familial Thoracic 11, Susceptibility To|Peters Anomaly|Familial Thoracic Aortic Aneurysm And Aortic Dissection|Congenital Primary Aphakia	yes	yes	yes	yes	59.005
FOXF1	HGNC:3809	MGI:1347470	OMIM:265380|ORPHA:210122	Alveolar Capillary Dysplasia With Misalignment Of Pulmonary Veins|Congenital Alveolar Capillary Dysplasia	no	no	no	no	NA
FOXF2	HGNC:3810	MGI:1347479	-	-	no	no	no	no	NA
FOXG1	HGNC:3811	MGI:1347464	OMIM:613454|ORPHA:261144|ORPHA:261229	Rett Syndrome, Congenital Variant|Foxg1 Syndrome Due To 14Q12 Microdeletion|14Q11.2 Microduplication Syndrome	no	no	no	no	NA
FOXH1	HGNC:3814	MGI:1347465	ORPHA:280200|ORPHA:280195|ORPHA:220386|ORPHA:93926|ORPHA:93924|ORPHA:93925	Microform Holoprosencephaly|Septopreoptic Holoprosencephaly|Semilobar Holoprosencephaly|Midline Interhemispheric Variant Of Holoprosencephaly|Lobar Holoprosencephaly|Alobar Holoprosencephaly	no	no	no	no	NA
FOXI1	HGNC:3815	MGI:1096329	OMIM:600791|ORPHA:705|ORPHA:402041	Deafness, Autosomal Recessive 4, With Enlarged Vestibular Aqueduct|Pendred Syndrome|Autosomal Recessive Distal Renal Tubular Acidosis	no	no	no	no	NA
FOXI2	HGNC:32448	MGI:3028075	-	-	yes	no	no	no	NA
FOXI3	HGNC:35123	MGI:3511278	OMIM:620444	Craniofacial Microsomia 2	no	no	no	no	NA
FOXJ1	HGNC:3816	MGI:1347474	OMIM:618699|ORPHA:244	Ciliary Dyskinesia, Primary, 43|Primary Ciliary Dyskinesia	no	no	no	no	NA
FOXJ2	HGNC:24818	MGI:1926805	-	-	no	no	no	no	NA
FOXJ3	HGNC:29178	MGI:2443432	-	-	yes	no	no	no	NA
FOXK1	HGNC:23480	MGI:1347488	-	-	no	no	no	no	NA
FOXK2	HGNC:6036	MGI:1916087	-	-	yes	no	no	no	NA
FOXL1	HGNC:3817	MGI:1347469	OMIM:620576	Otosclerosis 11	no	no	no	no	NA
FOXL2	HGNC:1092	MGI:1349428	OMIM:110100|OMIM:608996|ORPHA:619|ORPHA:572361|ORPHA:572333|ORPHA:572354|ORPHA:99915	Blepharophimosis, Ptosis, And Epicanthus Inversus|Premature Ovarian Failure 3|Non Rare In Europe: Primary Ovarian Failure|Blepharophimosis-Ptosis-Epicanthus Inversus Syndrome Type 2|Blepharophimosis-Ptosis-Epicanthus Inversus Syndrome Plus|Blepharophimosis-Ptosis-Epicanthus Inversus Syndrome Type 1|Maligant Granulosa Cell Tumor Of The Ovary	no	no	no	no	NA
FOXL3	HGNC:54201	MGI:3646467	-	-	no	no	no	no	NA
