disorder_id	disorder_name	gene_symbol	description	score	query_phenotype	match_phenotype
OMIM:614080	Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 1	PIGN	Pign<em1(IMPC)Mbp> het early	35.62	HP:0000073,HP:0032464,HP:0000034,HP:0000076,HP:0000126	MP:0002135,MP:0001146,MP:0001148,MP:0002989
OMIM:614080	Multiple Congenital Anomalies-Hypotonia-Seizures Syndrome 1	PIGN	Pign<em1(IMPC)Mbp> hom embryo	28.445	HP:0002007,HP:0001561	MP:0011495,MP:0001785
OMIM:614083	Fanconi Anemia, Complementation Group L	FANCL	Fancl<tm1b(EUCOMM)Hmgu> hom early	19.295	HP:0000957,HP:0005528,HP:0001903	MP:0005011,MP:0002606,MP:0002075
OMIM:614096	Combined Oxidative Phosphorylation Deficiency 8	AARS2	Aars2<tm1(KOMP)Wtsi> het early	27.865	HP:0001639,HP:0001640	MP:0003921
OMIM:614096	Combined Oxidative Phosphorylation Deficiency 8	AARS2	Aars2<tm1(KOMP)Wtsi> hom early	26.28	HP:0003811	MP:0011100
OMIM:614098	Keppen-Lubinsky Syndrome	KCNJ6	Kcnj6<em1(IMPC)H> hom early	18.485	HP:0002179	MP:0001523
OMIM:614129	Perrault Syndrome 3	CLPP	Clpp<tm1a(EUCOMM)Wtsi> hom early	28.44	HP:0000407,HP:0010464,HP:0000815,HP:0000786	MP:0001925,MP:0004738,MP:0001926
OMIM:614162	Immunodeficiency 31C	STAT1	Stat1<tm2b(EUCOMM)Wtsi> hom early	46.51	HP:0003347,HP:0000938,HP:0001890,HP:0001744,HP:0002716,HP:0001888	MP:0000702,MP:0005562,MP:0012362,MP:0005013,MP:0005011,MP:0002591,MP:0002606,MP:0000219,MP:0010124,MP:0000220,MP:0005016,MP:0000218
OMIM:614170	Brittle Cornea Syndrome 2	PRDM5	Prdm5<em1(IMPC)Tcp> hom early	19.155	HP:0000365	MP:0004738
OMIM:614171	Hermansky-Pudlak Syndrome 9	BLOC1S6	Bloc1s6<em1(IMPC)Mbp> hom early	27.065	HP:0001882,HP:0001107,HP:0001010,HP:0001873	MP:0000689,MP:0000691,MP:0002075
OMIM:614172	Immunodeficiency 21	GATA2	Gata2<tm1b(KOMP)Wtsi> het early	33.265	HP:0032242	MP:0002631,MP:0001126,MP:0004931,MP:0004727
OMIM:614173	Joubert Syndrome 13	TCTN1	Tctn1<em1(IMPC)Mbp> het embryo	24.51	HP:0001302,HP:0001320	MP:0000433
OMIM:614173	Joubert Syndrome 13	TCTN1	Tctn1<em1(IMPC)Mbp> hom embryo	24.51	HP:0001302,HP:0001320	MP:0000433
OMIM:614185	Geleophysic Dysplasia 2	FBN1	Fbn1<em1(IMPC)H> het early	18.69	HP:0002240	MP:0004952
OMIM:614201	Bleeding Disorder, Platelet-Type, 11	GP6	Gp6<tm2b(EUCOMM)Hmgu> hom early	19.055	HP:0011873	MP:0005013
OMIM:614203	Parkinson Disease 17	VPS35	Vps35<em1(IMPC)H> het early	31.815	HP:0002304	MP:0001406
OMIM:614222	Warburg Micro Syndrome 3	RAB18	Rab18<Gt(EUCE0233a03)Hmgu> het early	23.625	HP:0000648	MP:0006243
OMIM:614225	Warburg Micro Syndrome 2	RAB3GAP2	Rab3gap2<tm1b(KOMP)Wtsi> hom early	39.97	HP:0003196,HP:0000648	MP:0008259,MP:0000443
OMIM:614284	Stickler Syndrome, Type V	COL9A2	Col9a2<tm1b(EUCOMM)Wtsi> hom early	20.745	HP:0000407	MP:0004738,MP:0002102
OMIM:614300	Hypermethioninemia Due To Adenosine Kinase Deficiency	ADK	Adk<em1(IMPC)Ccpcz> het early	17.085	HP:0006580,HP:0001397,HP:0001396	MP:0000689
OMIM:614321	Myopathy, Distal, Tateyama Type	CAV3	Cav3<em1(IMPC)Kmpc> hom early	19.295	HP:0003236	MP:0000182
OMIM:614321	Myopathy, Distal, Tateyama Type	CAV3	Cav3<em1(IMPC)Kmpc> hom late	20.53	HP:0031956	MP:0011877
OMIM:614325	Pitt-Hopkins-Like Syndrome 2	NRXN1	Nrxn1<tm1b(KOMP)Wtsi> het early	19.34	HP:0002020,HP:0010808	MP:0003883
OMIM:614325	Pitt-Hopkins-Like Syndrome 2	NRXN1	Nrxn1<tm1b(KOMP)Wtsi> hom early	23.79	HP:0002883	MP:0005574
OMIM:614388	Encephalopathy Due To Defective Mitochondrial And Peroxisomal Fission 1	DNM1L	Dnm1l<tm1b(KOMP)Wtsi> het early	44.43	HP:0000543,HP:0000648	MP:0008259,MP:0002699,MP:0001289
OMIM:614424	Joubert Syndrome 14	TMEM237	Tmem237<tm1b(EUCOMM)Hmgu> het early	35.495	HP:0001629,HP:0002553,HP:0100259,HP:0025514,HP:0000648,HP:0000737	MP:0000274,MP:0000266,MP:0000627,MP:0001325,MP:0004357,MP:0020421
OMIM:614450	Hypothyroidism, Congenital, Nongoitrous, 6	THRA	Thra<tm1b(EUCOMM)Wtsi> het early	26.995	HP:0002136,HP:0001374	MP:0002574,MP:0002764
OMIM:614450	Hypothyroidism, Congenital, Nongoitrous, 6	THRA	Thra<tm1b(EUCOMM)Wtsi> het late	37.805	HP:0001539,HP:0002136,HP:0001903	MP:0002608,MP:0002574,MP:0010025
OMIM:614480	Hypertriglyceridemia, Transient Infantile	GPD1	Gpd1<em1(IMPC)Hmgu> hom early	27.02	HP:0002155	MP:0005553,MP:0000194,MP:0005627,MP:0001566
OMIM:614495	Pseudohypoaldosteronism, Type Iid	KLHL3	Klhl3<tm1b(KOMP)Wtsi> hom early	56.6	HP:0011423,HP:0002153	MP:0002968,MP:0005627
OMIM:614559	Infantile Cerebellar-Retinal Degeneration	ACO2	Aco2<Gt(EUC0050e03)Hmgu> het early	37.055	HP:0001508,HP:0004325	MP:0001262
OMIM:614563	Cortical Dysplasia, Complex, With Other Brain Malformations 13	DYNC1H1	Dync1h1<tm1dIcs> het early	32.735	HP:0002515,HP:0030051,HP:0001288	MP:0001402
OMIM:614576	Congenital Disorder Of Glycosylation, Type Iil	COG6	Cog6<tm1a(EUCOMM)Wtsi> hom early	48.205	HP:0002240,HP:0001876,HP:0003236,HP:0001744,HP:0001396,HP:0001394,HP:0001873	MP:0013154,MP:0013513,MP:0013417,MP:0013511,MP:0005568,MP:0013675,MP:0008182,MP:0013022,MP:0010835,MP:0013426,MP:0000322,MP:0008045,MP:0005018,MP:0010168,MP:0013764,MP:0005642,MP:0005562,MP:0013418,MP:0013522,MP:0002875,MP:0002874,MP:0013519,MP:0008079,MP:0008806,MP:0013157,MP:0013433,MP:0002599,MP:0012767,MP:0002968,MP:0000208,MP:0005343,MP:0009926,MP:0013430,MP:0008040,MP:0008173,MP:0005011,MP:0013772,MP:0013669,MP:0013775,MP:0000220,MP:0013427,MP:0012765,MP:0008097,MP:0013421,MP:0010851,MP:0010067,MP:0008074,MP:0008346,MP:0005344,MP:0008206,MP:0013435,MP:0000218
OMIM:614583	Baraitser-Winter Syndrome 2	ACTG1	Actg1<tm1.1(KOMP)Vlcg> het embryo	52.255	HP:0005484,HP:0001339,HP:0000568,HP:0001302,HP:0001274	MP:0001297,MP:0001293,MP:0000433
OMIM:614583	Baraitser-Winter Syndrome 2	ACTG1	Actg1<tm1.1(KOMP)Vlcg> hom embryo	53.08	HP:0004322,HP:0005484,HP:0001339,HP:0000568,HP:0001302,HP:0001274	MP:0001297,MP:0001293,MP:0000433,MP:0003984
OMIM:614602	Trichohepatoenteric Syndrome 2	SKIC2	Skic2<tm2b(EUCOMM)Wtsi> het early	29.83	HP:0040303	MP:0003020,MP:0005568
OMIM:614608	Coffin-Siris Syndrome 3	SMARCB1	Smarcb1<tm1b(EUCOMM)Hmgu> het early	25.675	HP:0002209,HP:0001007,HP:0000527,HP:0000574,HP:0000998	MP:0001510
OMIM:614621	Uv-Sensitive Syndrome 2	ERCC8	Ercc8<em1(IMPC)H> hom early	36.08	HP:0010472	MP:0005178,MP:0001556
OMIM:614651	Coenzyme Q10 Deficiency, Primary, 2	PDSS1	Pdss1<em1(IMPC)Mbp> het early	26.535	HP:0000648	MP:0001325
OMIM:614652	Coenzyme Q10 Deficiency, Primary, 3	PDSS2	Pdss2<tm1b(EUCOMM)Hmgu> het early	25.32	HP:0003073	MP:0005344
OMIM:614653	Neuropathy, Hereditary Sensory And Autonomic, Type Vi	DST	Dst<tm1b(EUCOMM)Wtsi> het early	17.435	HP:0000573	MP:0001289
OMIM:614653	Neuropathy, Hereditary Sensory And Autonomic, Type Vi	DST	Dst<tm1b(EUCOMM)Wtsi> het embryo	17.86	HP:0001511	MP:0001697
OMIM:614669	Auriculocondylar Syndrome 2A	PLCB4	Plcb4<tm1b(EUCOMM)Wtsi> hom early	23.325	HP:0004453,HP:0000358,HP:0008537,HP:0000369,HP:0008559,HP:0000365	MP:0004738
OMIM:614739	3-Methylglutaconic Aciduria With Deafness, Encephalopathy, And Leigh-Like Syndrome	SERAC1	Serac1<em1(IMPC)Tcp> hom early	27.585	HP:0002540	MP:0001402,MP:0002757
OMIM:614800	Short Stature, Optic Nerve Atrophy, And Pelger-Huet Anomaly	NBAS	Nbas<tm1b(EUCOMM)Hmgu> het early	42.5	HP:0000648	MP:0008259,MP:0002792,MP:0001289,MP:0002699,MP:0010097,MP:0001325
OMIM:614807	Myopathy, Centronuclear, 4	CCDC78	Ccdc78<em1(IMPC)J> hom early	24.13	HP:0040081	MP:0000195
OMIM:614813	Short Stature, Onychodysplasia, Facial Dysmorphism, And Hypotrichosis	POC1A	Poc1a<tm1.1(KOMP)Mbp> het early	23.975	HP:0000819	MP:0013278
OMIM:614813	Short Stature, Onychodysplasia, Facial Dysmorphism, And Hypotrichosis	POC1A	Poc1a<tm1.1(KOMP)Mbp> hom early	18.085	HP:0000798	MP:0001925,MP:0001926
OMIM:614815	Joubert Syndrome 18	TCTN3	Tctn3<em1(IMPC)J> hom embryo	52.035	HP:0002085,HP:0006487,HP:0034044,HP:0100259,HP:0001762,HP:0012385,HP:0001511	MP:0000562,MP:0001697
OMIM:614820	Alternating Hemiplegia Of Childhood 2	ATP1A3	Atp1a3<tm1b(EUCOMM)Hmgu> het early	41.585	HP:0001268,HP:0001251,HP:0001266	MP:0001392,MP:0001415
OMIM:614832	Amelogenesis Imperfecta, Hypomaturation Type, Iia4	ODAPH	Odaph<em1(IMPC)Ccpcz> hom early	52.99	HP:0006297,HP:0006285,HP:0000705	MP:0002100
OMIM:614833	Microcephaly, Short Stature, And Polymicrogyria With Or Without Seizures	RTTN	Rttn<em1(IMPC)Tcp> hom embryo	20.11	HP:0003502,HP:0004322	MP:0003984
OMIM:614837	Hypogonadotropic Hypogonadism 8 With Or Without Anosmia	KISS1R	Kiss1r<tm1.1(KOMP)Vlcg> hom early	62.735	HP:0000938,HP:0000044,HP:0000028,HP:0000786,HP:0000013,HP:0000027,HP:0000054,HP:0008734	MP:0003795,MP:0002059,MP:0003558,MP:0000063,MP:0001926,MP:0003578,MP:0006415,MP:0001120,MP:0002631,MP:0001925,MP:0004727,MP:0002989,MP:0003918,MP:0010124,MP:0002135,MP:0001146,MP:0001126,MP:0003642
OMIM:614840	Hypogonadotropic Hypogonadism 11 With Or Without Anosmia	TACR3	Tacr3<em1(IMPC)J> hom early	39.17	HP:0000028,HP:0000044,HP:0008734,HP:0000786	MP:0001926
OMIM:614844	Nephronophthisis 14	ZNF423	Zfp423<em1(IMPC)J> het early	29.14	HP:0000546	MP:0001289
OMIM:614851	Seckel Syndrome 7	NIN	Nin<tm1b(EUCOMM)Hmgu> hom early	12.555	HP:0008551	MP:0004738
OMIM:614858	Hypogonadotropic Hypogonadism 14 With Or Without Anosmia	WDR11	Wdr11<em1(IMPC)Mbp> het late	29.93	HP:0000028,HP:0000044,HP:0008734	MP:0002997,MP:0003642
OMIM:614858	Hypogonadotropic Hypogonadism 14 With Or Without Anosmia	WDR11	Wdr11<em1(IMPC)Mbp> hom early	26.68	HP:0000028,HP:0000044,HP:0008734,HP:0000786	MP:0009709,MP:0001925,MP:0001120
OMIM:614858	Hypogonadotropic Hypogonadism 14 With Or Without Anosmia	WDR11	Wdr11<em1(IMPC)Mbp> hom late	36.605	HP:0000028,HP:0000044,HP:0008734	MP:0005313,MP:0002997,MP:0003642
OMIM:614863	Peroxisome Biogenesis Disorder 4B	PEX6	Pex6<em1(IMPC)Tcp> het early	42.16	HP:0000762,HP:0000648,HP:0000510,HP:0000556	MP:0008259,MP:0002792,MP:0010097,MP:0006243
OMIM:614872	Peroxisome Biogenesis Disorder 7A (Zellweger)	PEX26	Pex26<tm1.1(KOMP)Vlcg> het early	23.755	HP:0002240,HP:0000952	MP:0000691
OMIM:614878	Autoinflammation, Antibody Deficiency, And Immune Dysregulation	PLCG2	Plcg2<Ali14> het early	53.945	HP:0002850,HP:0002720,HP:0030388	MP:0008501,MP:0008499,MP:0005505,MP:0008211,MP:0002874,MP:0002875,MP:0005015,MP:0000208,MP:0008498,MP:0002494
OMIM:614882	Peroxisome Biogenesis Disorder 10A (Zellweger)	PEX3	Pex3<tm1a(EUCOMM)Wtsi> hom early	43.305	HP:0010655,HP:0000518	MP:0001312,MP:0000062,MP:0005542
OMIM:614887	Peroxisome Biogenesis Disorder 13A (Zellweger)	PEX14	Pex14<em1(IMPC)Bay> het early	25.46	HP:0000627	MP:0011960
OMIM:614887	Peroxisome Biogenesis Disorder 13A (Zellweger)	PEX14	Pex14<em1(IMPC)Bay> hom early	22.13	HP:0003811	MP:0011100
OMIM:614898	Spastic Paraplegia 53, Autosomal Recessive	VPS37A	Vps37a<em1(IMPC)Tcp> het early	21.895	HP:0000998	MP:0000367
OMIM:614899	Deafness, Autosomal Recessive 93	CABP2	Cabp2<em1(IMPC)J> hom early	37.875	HP:0000365	MP:0004738
OMIM:614926	Perrault Syndrome 2	HARS2	Hars2<em1(IMPC)J> het early	24.875	HP:0000407	MP:0004738
OMIM:614932	Combined Oxidative Phosphorylation Deficiency 13	PNPT1	Pnpt1<tm1a(KOMP)Wtsi> het early	29.215	HP:0001266	MP:0001406
OMIM:614944	Deafness, Autosomal Recessive 84B	OTOGL	Otogl<em1(IMPC)J> hom early	33.13	HP:0000407	MP:0004738
OMIM:614945	Deafness, Autosomal Recessive 18B	OTOG	Otog<em1(IMPC)J> hom early	33.13	HP:0000407	MP:0004738
OMIM:614946	Combined Oxidative Phosphorylation Deficiency 14	FARS2	Fars2<em1(IMPC)J> het early	15.225	HP:0012465	MP:0005343
OMIM:614962	Leptin Deficiency Or Dysfunction	LEP	Lep<tm1b(EUCOMM)Hmgu> hom early	34.22	HP:0002591,HP:0000135,HP:0008734,HP:0000786	MP:0001363,MP:0001925,MP:0001926
OMIM:614963	Leptin Receptor Deficiency	LEPR	Lepr<tm1b(EUCOMM)Wtsi> hom early	35.725	HP:0000819,HP:0000815,HP:0000824,HP:0100738,HP:0000718,HP:0008245,HP:0001513,HP:0000712,HP:0002591	MP:0001926,MP:0001157,MP:0003961,MP:0001925,MP:0001363,MP:0005559,MP:0001417
OMIM:614969	Pontocerebellar Hypoplasia, Type 7	TOE1	Toe1<tm1.1(KOMP)Vlcg> het early	24.675	HP:0001266,HP:0000054,HP:0002179	MP:0001513,MP:0011436
OMIM:614972	Cholestasis, Intrahepatic, Of Pregnancy 3	ABCB4	Abcb4<em1(IMPC)H> hom early	37.125	HP:0200150,HP:0000952,HP:0001406	MP:0002968,MP:0005343,MP:0002941,MP:0000186,MP:0005553,MP:0004952,MP:0005627,MP:0008806,MP:0005344
OMIM:615005	Epilepsy, Nocturnal Frontal Lobe, 5	KCNT1	Kcnt1<em1(IMPC)Mbp> hom early	46.68	HP:0000716,HP:0000718	MP:0020870,MP:0001364,MP:0001417
OMIM:615008	Nephrotic Syndrome, Type 7	DGKE	Dgke<em1(IMPC)Tcp> hom early	25.29	HP:0003073	MP:0005554
OMIM:615009	Schuurs-Hoeijmakers Syndrome	PACS1	Pacs1<em1(IMPC)Hmgu> het early	24.59	HP:0000028	MP:0002059
OMIM:615010	Aicardi-Goutieres Syndrome 6	ADAR	Adar<tm1b(EUCOMM)Wtsi> hom embryo	22.23	HP:0001511	MP:0001697
OMIM:615011	Phosphohydroxylysinuria	PHYKPL	Phykpl<tm1a(EUCOMM)Wtsi> hom early	31.395	HP:0031870	MP:0005554
OMIM:615030	Spastic Paraplegia 56, Autosomal Recessive, With Or Without Pseudoxanthoma Elasticum	CYP2U1	Cyp2u1<tm1b(EUCOMM)Wtsi> hom early	36.405	HP:0001332	MP:0001513
OMIM:615031	Neuropathy, Hereditary Sensory And Autonomic, Type Ix, With Developmental Delay	TECPR2	Tecpr2<em1(IMPC)J> hom early	28.05	HP:0002064,HP:0001310,HP:0002066	MP:0002574
OMIM:615042	Congenital Disorder Of Glycosylation, Type Iu	DPM2	Dpm2<tm1b(EUCOMM)Hmgu> het early	32.495	HP:0003236	MP:0005568
OMIM:615048	Spinal Muscular Atrophy, Jokela Type	CHCHD10	Chchd10<em1(IMPC)Mbp> hom early	26.82	HP:0003236	MP:0001566
OMIM:615048	Spinal Muscular Atrophy, Jokela Type	CHCHD10	Chchd10<em1(IMPC)H> hom early	32.175	HP:0003236	MP:0005553,MP:0005565,MP:0005627
OMIM:615072	Brachydactyly, Type A1, C	GDF5	Gdf5<em1(IMPC)H> hom early	50.77	HP:0001156,HP:0009577,HP:0009439,HP:0001776,HP:0009295,HP:0004220,HP:0009882	MP:0000572,MP:0000550,MP:0000556,MP:0002110
OMIM:615081	Spermatogenic Failure 11	KLHL10	Klhl10<tm1b(KOMP)Wtsi> hom early	67.955	HP:0003251,HP:0012864,HP:0012207,HP:0000798	MP:0001925
OMIM:615113	Microphthalmia, Isolated 8	ALDH1A3	Aldh1a3<tm1b(KOMP)Wtsi> hom embryo	55.28	HP:0000568,HP:0000528,HP:0000609,HP:0011478	MP:0001297
OMIM:615119	Mitochondrial Complex Iv Deficiency, Nuclear Type 6	COX15	Cox15<tm1.1(KOMP)Vlcg> het early	30.19	HP:0001638,HP:0001639	MP:0008725,MP:0000266,MP:0002833
OMIM:615122	Lymphoproliferative Syndrome 2	CD27	Cd27<em1(IMPC)Ccpcz> hom early	37.11	HP:0002240,HP:0001876,HP:0001915,HP:0001744,HP:0002716,HP:0001433,HP:0012156	MP:0000274,MP:0000689,MP:0010169
OMIM:615127	Epilepsy, Familial Adult Myoclonic, 4	YEATS2	Yeats2<em1(IMPC)J> het late	41.255	HP:0001337	MP:0001513,MP:0001523
OMIM:615147	Retinal Dystrophy, Iris Coloboma, And Comedogenic Acne Syndrome	RBP4	Rbp4<tm1.1(KOMP)Vlcg> hom early	33.405	HP:0000612,HP:0200070	MP:0001289
OMIM:615155	Steel Syndrome	COL27A1	Col27a1<em1(IMPC)Mbp> het early	20.75	HP:0009702,HP:0001377	MP:0000062
OMIM:615155	Steel Syndrome	COL27A1	Col27a1<em1(IMPC)Mbp> hom embryo	19.185	HP:0004322	MP:0003984
OMIM:615182	Combined D-2- And L-2-Hydroxyglutaric Aciduria	SLC25A1	Slc25a1<tm1b(EUCOMM)Wtsi> het early	31.615	HP:0000737	MP:0001415
OMIM:615182	Combined D-2- And L-2-Hydroxyglutaric Aciduria	SLC25A1	Slc25a1<tm1b(EUCOMM)Wtsi> hom embryo	30.25	HP:0001321,HP:0000252	MP:0000841,MP:0011496
OMIM:615191	Lissencephaly 5	LAMB1	Lamb1<em1(IMPC)Bay> het early	25.87	HP:0000648	MP:0003733
OMIM:615198	Osteosclerotic Metaphyseal Dysplasia	LRRK1	Lrrk1<tm1b(KOMP)Wtsi> hom early	66.905	HP:0100959,HP:0100255,HP:0011001,HP:0004576,HP:0100923,HP:0001508	MP:0000150,MP:0000062,MP:0004509,MP:0000552,MP:0005296,MP:0002187,MP:0000558,MP:0005108,MP:0003961,MP:0010123,MP:0002764,MP:0000559,MP:0000137,MP:0005298
OMIM:615206	Immunodeficiency 11A	CARD11	Card11<em1(IMPC)Ccpcz> hom early	53.525	HP:0012312,HP:0020113	MP:0013763,MP:0000709,MP:0008078,MP:0005013,MP:0010851,MP:0000703,MP:0004953,MP:0013771,MP:0010169,MP:0000689,MP:0005015,MP:0008074,MP:0000692,MP:0013436,MP:0000218
OMIM:615219	Hydrocephalus, Congenital, 2, With Or Without Brain Or Eye Anomalies	MPDZ	Mpdz<em1(IMPC)J> hom early	31.365	HP:0000358,HP:0000407,HP:0000648,HP:0001104,HP:0000567,HP:0001631,HP:0030718	MP:0002792,MP:0002833,MP:0004738,MP:0010097,MP:0001325
OMIM:615235	Cardiomyopathy, Dilated, 1Jj	LAMA4	Lama4<tm1.1(KOMP)Vlcg> hom early	24.9	HP:0001644	MP:0002833
OMIM:615238	Lipodystrophy, Familial Partial, Type 5	CIDEC	Cidec<tm1b(EUCOMM)Wtsi> hom early	43.655	HP:0001953,HP:0002155,HP:0009125,HP:0030796	MP:0002966,MP:0005178,MP:0013279,MP:0010025
OMIM:615249	Muscular Dystrophy-Dystroglycanopathy (Congenital With Brain And Eye Anomalies), Type A, 12	POMK	Pomk<em1(IMPC)Hmgu> het early	18.96	HP:0001371	MP:0000062
OMIM:615284	Charcot-Marie-Tooth Disease, Type 4B3	SBF1	Sbf1<em1(IMPC)Mbp> hom early	17.98	HP:0000020	MP:0002135,MP:0009552,MP:0003068
OMIM:615298	Symphalangism, Proximal, 1B	GDF5	Gdf5<em1(IMPC)H> hom early	57.235	HP:0004209,HP:0006143,HP:0009536,HP:0009177	MP:0000062,MP:0000572,MP:0000550,MP:0002110,MP:0000556
OMIM:615343	Pulmonary Hypertension, Primary, 3	CAV1	Cav1<em2(IMPC)Ics> hom early	19.45	HP:0005317,HP:0002092,HP:0004890	MP:0005140,MP:0002626
OMIM:615355	Noonan Syndrome 8	RIT1	Rit1<em1(IMPC)Mbp> hom early	14.37	HP:0001712	MP:0003068
OMIM:615356	Muscular Dystrophy, Limb-Girdle, Autosomal Recessive 18	TRAPPC11	Trappc11<em1(IMPC)J> het early	27.47	HP:0002353,HP:0003236	MP:0005553,MP:0004738
OMIM:615361	Hypocalcemia, Autosomal Dominant 2	GNA11	Gna11<tm1a(EUCOMM)Wtsi> hom early	62.205	HP:0100529,HP:0002901	MP:0000194,MP:0002941,MP:0008805,MP:0000198
OMIM:615368	Lethal Congenital Contracture Syndrome 5	DNM2	Dnm2<tm1.1(KOMP)Vlcg> het early	38.02	HP:0000762,HP:0003236	MP:0002968,MP:0001102
OMIM:615396	Left Ventricular Noncompaction 10	MYBPC3	Mybpc3<tm1a(EUCOMM)Hmgu> hom early	30.39	HP:0001644,HP:0030682	MP:0000266,MP:0002833
OMIM:615401	Immunodeficiency 8 With Lymphoproliferation	CORO1A	Coro1a<tm1.1(KOMP)Vlcg> hom early	48.795	HP:0007018	MP:0001399
OMIM:615418	Mitochondrial Dna Depletion Syndrome 12B (Cardiomyopathic Type), Autosomal Recessive	SLC25A4	Slc25a4<tm1a(EUCOMM)Wtsi> hom early	44.595	HP:0003236,HP:0001771,HP:0001712,HP:0003348,HP:0001639	MP:0002968,MP:0003020,MP:0005565,MP:0000194,MP:0002833,MP:0004613
OMIM:615419	Hypotonia, Infantile, With Psychomotor Retardation And Characteristic Facies 1	NALCN	Nalcn<em1(IMPC)Mbp> het embryo	39.33	HP:0000252	MP:0000433
OMIM:615419	Hypotonia, Infantile, With Psychomotor Retardation And Characteristic Facies 1	NALCN	Nalcn<em1(IMPC)Mbp> hom embryo	39.33	HP:0000252	MP:0000433
OMIM:615434	Retinitis Pigmentosa 82 With Or Without Situs Inversus	ARL2BP	Arl2bp<em1(IMPC)J> hom early	45.05	HP:0000543,HP:0000510,HP:0007401	MP:0008259
OMIM:615458	Microcornea, Myopic Chorioretinal Atrophy, And Telecanthus	ADAMTS18	Adamts18<tm1.1(KOMP)Vlcg> hom early	41.61	HP:0000482,HP:0007787	MP:0001304
OMIM:615465	Hartsfield Syndrome	FGFR1	Fgfr1<tm1.1(KOMP)Vlcg> hom embryo	15.585	HP:0001510	MP:0003984
OMIM:615473	Developmental And Epileptic Encephalopathy 17	GNAO1	Gnao1<tm1b(EUCOMM)Hmgu> het early	30.66	HP:0002305,HP:0002072,HP:0001332	MP:0001523
OMIM:615476	Developmental And Epileptic Encephalopathy 18	SZT2	Szt2<em1(IMPC)Bay> hom embryo	34.97	HP:0001659,HP:0001561,HP:0001562	MP:0001785,MP:0001914
OMIM:615491	Spastic Paraplegia 79B, Autosomal Recessive	UCHL1	Uchl1<tm1b(EUCOMM)Hmgu> het early	27.82	HP:0002599,HP:0002174,HP:0002080	MP:0001488
OMIM:615503	Short-Rib Thoracic Dysplasia 8 With Or Without Polydactyly	DYNC2I1	Dync2i1<em1(IMPC)Tcp> hom embryo	22.935	HP:0001629,HP:0004322	MP:0000266,MP:0003984
OMIM:615510	Alacrima, Achalasia, And Impaired Intellectual Development Syndrome	GMPPA	Gmppa<em1(IMPC)Tcp> hom early	26.225	HP:0009916,HP:0001251,HP:0002015	MP:0001399,MP:0001314,MP:0002574
OMIM:615523	Corneal Dystrophy, Fuchs Endothelial, 8	AGBL1	Agbl1<em1(IMPC)J> hom late	43.615	HP:0001131,HP:0012038	MP:0001304,MP:0001303,MP:0001307,MP:0004222
OMIM:615530	Parkinson Disease 20, Early-Onset	SYNJ1	Synj1<tm1b(EUCOMM)Wtsi> het early	44.06	HP:0000658,HP:0004305,HP:0001300,HP:0001337,HP:0002063,HP:0002067,HP:0001332	MP:0000745
OMIM:615547	Schaaf-Yang Syndrome	MAGEL2	Magel2<em2(IMPC)H> hom early	28.41	HP:0002540	MP:0001392
OMIM:615574	Asparagine Synthetase Deficiency	ASNS	Asns<tm1a(EUCOMM)Wtsi> hom early	17.595	HP:0000609	MP:0005103
OMIM:615575	Neuronopathy, Distal Hereditary Motor, Autosomal Dominant 6	FBXO38	Fbxo38<em2(IMPC)Marc> hom early	27.785	HP:0002355	MP:0001402
OMIM:615578	Combined Oxidative Phosphorylation Deficiency 18	SFXN4	Sfxn4<tm1b(KOMP)Wtsi> hom early	27.74	HP:0001972,HP:0004821	MP:0000221
OMIM:615597	Congenital Disorder Of Glycosylation, Type Ix	STT3B	Stt3b<em1(IMPC)J> het early	22.59	HP:0001873	MP:0005562
OMIM:615597	Congenital Disorder Of Glycosylation, Type Ix	STT3B	Stt3b<em1(IMPC)J> hom embryo	34.595	HP:0001511	MP:0003984
OMIM:615604	L-Ferritin Deficiency	FTL	Ftl1<em1(IMPC)Rbrc> hom late	30.17	HP:0012343	MP:0004152
OMIM:615605	Fanconi Renotubular Syndrome 3	EHHADH	Ehhadh<tm1b(KOMP)Wtsi> hom early	21.015	HP:0003259	MP:0005627
OMIM:615630	Short-Rib Thoracic Dysplasia 10 With Or Without Polydactyly	IFT172	Ift172<tm2b(EUCOMM)Hmgu> het early	37.91	HP:0001162,HP:0010230,HP:0002857,HP:0003026,HP:0000546,HP:0001156	MP:0010097,MP:0002110
OMIM:615630	Short-Rib Thoracic Dysplasia 10 With Or Without Polydactyly	IFT172	Ift172<tm2b(EUCOMM)Hmgu> hom embryo	27.075	HP:0000238,HP:0001629,HP:0004322	MP:0000288,MP:0000266,MP:0003720,MP:0003984
OMIM:615637	Intellectual Developmental Disorder, Autosomal Recessive 41	KPTN	Kptn<tm1a(EUCOMM)Wtsi> hom early	13.81	HP:0001744	MP:0002874
OMIM:615663	Warburg Micro Syndrome 4	TBC1D20	Tbc1d20<em1(IMPC)Mbp> hom early	16.51	HP:0000028,HP:0008734	MP:0001925
OMIM:615673	Myopathy With Extrapyramidal Signs	MICU1	Micu1<tm1bNarl> hom early	45.32	HP:0002240,HP:0001251,HP:0001744,HP:0001974,HP:0001266,HP:0002355	MP:0001392,MP:0000691,MP:0001406
